Assamese_Sentence	English_Translation
জম্মু-কাশ্মীৰৰ চপিয়ানত সেনা-সন্ত্ৰাসবাদীৰ সংঘৰ্ষ	Encounter breaks out between security forces, terrorists in Jammu and Kashmir's Shopian
কোনোবাই তুলি নধৰিলে উঠিব নোৱাৰে এতিয়া তেওঁ।	Now he can't get up unless someone picks him up.
সমান্তৰালভাৱে অসমৰ দৈনিক কাকতখনৰ ভিতৰত অসমীয়া প্ৰতিদিনৰ ডিজিটেল সংস্কৰণৰো ব্যৱস্থা কৰা হ’ল।	Simultaneously, a digital version of Assamese Pratidin was also arranged within the Assam daily.
কোৰোনা ভাইৰাছক লৈ বিশ্বজুৰি সৃষ্টি হোৱা পৰিস্থিতিৰ পৰিপ্ৰেক্ষিতত পৰাগ কুমাৰ দাস স্মৃতি ৰক্ষা সমিতিয়ে এইবাৰ সদৌ অসম আন্ত:মহাবিদ্যালয় তৰ্ক প্ৰতিযোগিতাৰ পৰিবৰ্তে অনলাইন ৰচনা প্ৰতিযোগিতাৰ আয়োজন কৰিছে।	The Parag Kumar Das Smriti Raksha Samiti is organizing the online essay competition instead of the All Assam Inter-University Debate Competition this time in view of the global situation arising out of the Corona virus.
মুম্বাইৰ জুহুত ভোটাধিকাৰ সাব্যস্ত অভিনেতা বিবেক অবেৰয়ৰ	Actor Vivek Oberoi casts his vote in Juhu, Mumbai
প্ৰধানমন্ত্ৰীগৰাকীয়ে আন এটা টুইটত লিখিছে- ‘উচ্চতম ন্যায়ালয়ৰ এই ৰায়দান বহুকাৰণত গুৰুত্বপূৰ্ণ।	"In another tweet, the Prime Minister said, ""The Supreme Court's judgement is important for many reasons."
১৯ সংখ্যক ইণ্ডিয়া-ৰাছিয়া ইন্টাৰ গভৰ্ণমেন্টেল কমিশ্যনত ভাগ লবলৈ যাব ৰাজনাথ সিং।	Rajnath Singh will attend the 19th India-Russia Inter-Governmental Commission.
কথমপি প্ৰাণ ৰক্ষা পৰে নুৰ আহমেদ নামৰ লোকজনৰ পৰিয়ালৰ সদস্যসকল।	The family members of the man, Noor Ahmed, escaped unhurt.
নাগৰিকত্ব সংশোধনী আইন বিৰোধী জাতীয় সংগ্ৰামক বিপথে পৰিচালিত কৰিবলৈ মুখ্যমন্ত্ৰী সৰ্বানন্দ সোণোৱালে বিভ্ৰান্তমূলক আৰু বিভাজনমূলক বক্তব্য কৰিছে বুলি উভতি ধৰিছে কৃষক মুক্তি-ছাত্ৰ মুক্তিয়ে।	The Krishak Mukti-Chatra Mukti has alleged that Chief Minister Sarbananda Sonowal has made misleading and divisive statements to mislead the national struggle against the Citizenship Amendment Act.
বঢ়মপুৰৰ বৰবাৰীত বন্যহস্তীৰ আক্ৰমণত এজন নিহত	One killed after being attacked by wild animals in Barabari, Berhampur
নজ্বলে ষ্টোভ , কি কাৰনত নজ্বলিলে বুলি চিলিণ্ডাৰৰ ভেল্ভ পৰীক্ষা কৰি চোৱাত ওলাই পৰিল উৰহি গছৰ উৰ।	Nazbale stove, check the valve of the cylinder to see what caused the stove to fail, the wood of the tree flew away.
ফলত কৃষক সকলৰ মাজত এক শোকাকুল পৰিবেশৰ সৃষ্টি হয়।	As a result, an atmosphere of mourning is created among the farmers.
তাজিয়াৰ নামত চহৰখনৰ এইচ এছ ৰোডত পাৰ্কিং কৰি থোৱা অৱস্থাত দীপজ্যোতি বসু আৰু প্ৰতিপল সিঙৰ দুখন বাহন ক্ষতিগ্ৰস্ত কৰিছিল উদণ্ড যুৱকৰ দলটোৱে।	The gang of Udanda youths damaged two vehicles belonging to Dipjyoti Bose and Pratipal Singh while they were parked on HS Road in the city in the name of Tazia.
তাৰোপৰি বাগিচাখনত এখন এম্বুলেন্সও নাই ।	Moreover, there is not even an ambulance in the garden.
ভুক্তভোগী মহিলা গৰাকীয়ে পাপু গগৈ গুলীবিদ্ধ হোৱাৰ খবৰ সংবাদ মাধ্যমৰ জৰিয়তে জানিব পাৰি আজি তেওঁ গহপুৰ আৰক্ষী থানাত উপস্থিত হৈ পাপুৰ বিৰুদ্ধে এখন এজাহাৰ দাখিল কৰে।	The victim, who came to know through the media that Papu Gogoi had been shot, reached the Puttur police station today and filed a complaint against Papu.
নলবাৰীৰ ২নং সাগৰকুছিত বৃহস্পতিবাৰে নিশা সংঘটিত এক শোকাবহ পথ দুৰ্ঘটনাত এজন লোকৰ মৃত্যু হোৱাৰ লগতে আন দুজন লোক আঘাতপ্ৰাপ্ত হয়।	One person was killed and two others were injured in a tragic road accident on Thursday night at Sagarkuchi No. 2 in Nalbari.
ইফালে, অসমৰ একমাত্র ক্রিকেটাৰ হিচাপে ৰিয়ান পৰাগে আই পি এলৰ মেগা নিলামৰ চূড়ান্ত তালিকাত স্থান লাভ কৰিবলৈ সক্ষম হৈছে৷	Meanwhile, Riyan Parag has managed to make it to the final list of the IPL mega auction as the only cricketer from Assam.
ছোনিয়া গান্ধীলৈ দুই পৃষ্ঠাজোৰা পত্ৰ প্ৰেৰণ কৰিছে বৰাই।	Bora has sent a two-page letter to Sonia Gandhi.
জাগীৰোডৰ শিলভাঙাৰ পৰা আটক ড্ৰাগছসহ তিনিজন সৰবৰাহকাৰীক।	Three smugglers with drugs arrested from Jagiroad stone-pelting.
মন কৰিবলগীয়া যে ১৯৮৩ৰ বিশ্বকাপ চলি থকা সময়ত মংগেশকাৰ এক সংগীত অনুষ্ঠানৰ বাবে লণ্ডনত আছিল৷	It is to be noted that Mangeshkar was in London for a concert during the 1983 World Cup.
পাঁচজনকৈ NHM কৰ্মী আক্ৰান্ত হৈছে কোৰোনা ভাইৰাছত।	Five NHM workers have been infected with the coronavirus.
ডিজিটেল ডেস্ক: ৰাজ্যপাল জগদীশ মুখীৰ ভাষণেৰে আৰম্ভ হয় অসম বিধানসভাৰ বাজেট অধিৱেশন।	The budget session of the Assam Legislative Assembly began with an address by Governor Jagdish Mukhi.
ছাত্ৰীগৰাকীয়ে এতিয়া লগত জলকীয়া, সৰিয়হ লৈও হেনো ভূতৰ পৰা ৰক্ষা পৰা নাই।	The student is no longer immune to the ghost even if he carries chillies and mustard with him.
সোমবাৰে পুৱা সংঘটিত হয় এই দুৰ্ঘটনা।	The incident occurred on Monday morning.
ইয়াৰ পূর্বে ২০১৯ চনত বিশ্বৰ ধনাঢ়্য ব্যক্তি জেফ বেজছৰ এদিনতে ৩৬ বিলিয়ন মার্কিন ডলাৰৰ সম্পত্তি হ্রাস পাইছে৷	Before this, in 2019, the wealth of the world's richest person Jeff Bezos fell by $36 billion in a single day.
পৰিয়াল এটা অৰ্থনৈতিকভাৱে সবল নোহোৱালৈকে প্ৰদান কৰা হ’ব এই নিৰ্ধাৰিত ধনৰাশি।	This fixed amount will be provided until a family is financially sound.
যদি কোনোবাই ভাবিছে- চতুৰ্থ পৰ্যায়ৰ লকডাউনত আৰু নীতি-নিয়ম শিথিল হ’ব তেন্তে সেই সম্ভাৱনা এতিয়াই কৰা অনুচিত।	If anyone is thinking - in the fourth phase of lockdown and the rules will be relaxed then that possibility should not be done now.
এইবোৰৰ লগতে সুৰাপায়ী চালকসকল এতিয়াৰে পৰা সাৱধান হোৱা ভাল।	Along with these, it is better for drunk drivers to be careful from now on.
কমিছনৰ অংকত ব্যস্ত এনফ’ৰ্চমেণ্ট ডিটিঅ’ কার্যালয় চৌহদত আবদ্ধ বালিৰ ট্রাক–তেলৰ টেংকাৰ	Sand Truck-Oil Tanker Stuck in Premises of Enforcement DTO Office Busy With Commission Figures
নিয়মীয়া বাৰ্তা, ৩ অক্টোবৰঃ টেলিভিছনৰ ইতিহাসৰ আটাইতকৈ জনপ্ৰিয় ধাৰাবাহিক ‘ৰামায়ণ’ৰ সকলো চৰিত্ৰ অমৰ।	Regular Message, 3rd October: All the characters of'Ramayan ', the most popular serial in the history of television, are immortal.
সেইবাবে তেনে লোকৰ সংস্পৰ্শলৈ আহি কোৰোনা ভাইৰাছত আক্ৰান্ত যদি কোনো লোক হয় তেতিয়া আমি পুনৰ আৰু ১৪ দিন অপেক্ষা কৰিলে সকলো কথা জানিব পৰা যাব পাৰিম।	Therefore, if there is a person who is infected with the corona virus after coming in contact with such people, then we will wait for another 14 days and everything will be known.
বাহিৰত বোমা বিস্ফোৰণ হৈ আছে।	Bombs are exploding outside.
আৰটিপিচিআৰ নিগেটিভ প্রমাণ–পত্র বাধ্যতামূলক	RTPCR negative certificate is mandatory.
নিয়মীয়া বাৰ্তা, ২৩ আগষ্ট: যি সময়ত ৰাজ্যৰ মুখ্যমন্ত্রীয়ে বনাঞ্চল সংৰক্ষণৰ বাবে বলিষ্ঠ পদক্ষেপ গ্রহণ কৰিছে, সেই সময়তে জোনাইত একাংশ বনদস্যুৰ বন ধ্বংসকার্যই জোনাইবাসীৰ চকু কপালত তুলিছে৷	Regular Message, 23 August: At a time when the Chief Minister of the state has taken strong steps to conserve the forest, the destruction of the forest by some foresters in Jonai has raised the eyebrows of the Jonai people.
নিয়মীয়া বাৰ্তা, ২৩ এপ্ৰিল: ওদালগুৰি জিলাৰ ঝাৰগাঁও উচ্চতৰ মাধ্যমিক বিদ্যালয়ৰ অৱসৰী প্ৰধান শিক্ষক ভূমিধৰ চহৰীয়াক আজি আনুষ্ঠানিকভাৱে বিদায় সম্বৰ্ধনা জ্ঞাপন কৰা হয় ।	Regular Message, April 23: Bhumidhar Sahariya, the retired headmaster of Jhargaon Higher Secondary School in Udalguri district, was given a formal farewell today.
পাছলৈ প্রদেশ কংগ্রেছৰ সঁজাতী দলটো অৱস্থান ধর্মঘটত বহে উপায়ুক্ত কার্যালয়ৰ মূল প্রৱেশ পথত৷	Later, members of the Pradesh Congress Committee sat on a sit-in at the main entrance of the Deputy Commissioner's office.
চিকিৎসাৰ বাবে এছ এম চি হাস্পতালয়লৈ নিয়া হৈছিল আখতাৰক৷	Akhtar was taken to SMC Hospital for treatment.
যি দুখন হাতেৰে এজন মানুহৰ প্ৰাণ লৈছিলো, সেই দুখন হাতেৰে মই হাজাৰ জনক জীৱন দান দিম।	The two hands with which I took the life of one person, I will give life to a thousand people with those two hands.
কংগ্ৰেছ, ঝাৰখণ্ড মুক্তি মৰ্চা, ৰাষ্ট্ৰীয় জনতা দল মিত্ৰজোট আগবাঢ়ি আছে ৪১ খন আসনত ঝাৰখণ্ড বিকাশ মৰ্চা আগবাঢ়ি আছে ৪ খন আসনত।	Congress, Jharkhand Mukti Morcha, Rashtriya Janata Dal alliance is leading in 41 seats, Jharkhand Vikas Morcha is leading in 4 seats.
এই পৰীক্ষা নতুন সূচী অনুসৰি ১ ছেপ্তেম্বৰৰ পৰা ৬ ছেপ্তেম্বৰলৈ  অনুষ্ঠিত হোৱাৰ কথা।	The exam is scheduled to be held from September 1 to September 6 as per the new schedule.
প্ৰতিবাদত অংশ গ্ৰহণ কৰি দেৱাশীসৰ পিতৃয়ে ক্ষোভৰে প্ৰকাশ কৰে যে, আৰক্ষীৰ তদন্ত অতি লেহেমীয়া গতিত চলিছে।	Taking part in the protest, Devashish's father angrily reveals that the police investigation is going at a very slow pace.
অভিযান কালত নুৰ হুছেইন নামৰ ব্যক্তিজনৰ নিজ বাসগৃহৰ পৰা বৃহৎ পৰিমাণৰ গাঞ্জা উদ্ধাৰ কৰাৰ লগতে নুৰ হুছেইনকো আটক কৰি ৰৌতা আৰক্ষী থানালৈ লৈ আহে।	During the raid, a large quantity of ganja was recovered from the residence of a person named Nur Hossain and Nur Hossain was also arrested and brought to the Rautahat police station.
জিৰা-টিৰাঙত বন্যহস্তীৰ তাণ্ডৱ, ২ পৰিয়াল গৃহহীন	Jira-Tirang wildfire leaves 2 families homeless
ইফালে কংগ্ৰেছ নেতা সঞ্জু বৰুৱাই ৰাজ্যিক স্বাস্হ্য মন্ত্ৰী পীয়ুষ হাজৰিকালৈ এই বিষয়ে জনাবলৈ ফোন কৰিছিল যদিও ফোন নধৰিলে বুলি জানিবলৈ দিছে সঞ্জু বৰুৱাই।	Meanwhile, Congress leader Sanju Baruah called up state health minister Piyush Hazarika to inform him about the matter, but the call went unanswered, Baruah said.
চামগুৰি নৱজ্যোতি মহিলা সমিতিৰ সোণালী জয়ন্তী আৰম্ভঃ অন্তৰংগ অনুষ্ঠান সম্পন্ন	Golden Jubilee of Chhori Nabajyoti Mahila Samiti begins: Funeral ceremony held
৭২. দিল্লীত নাগৰিকত্ব সংশোধনী বিধেয়কৰ বিৰুদ্ধে উলংগ প্ৰতিবাদ সাব্যস্ত কৰা ছাত্ৰ মুক্তিৰ প্ৰাক্তন কেন্দ্ৰীয় বিত্ত সম্পাদক হিৰণ্য পাঠাৰিৰ বিজেপিত যোগদানক লৈ প্ৰতিক্ৰিয়া।	72. Reaction to the joining of Hiranya Pathari, former Central Finance Secretary of Chhatra Mukti, who staged a naked protest against the Citizenship Amendment Bill in Delhi, in the BJP.
কাৰণ ই সংবিধান বিৰোধী এখন কলা আইন।	Because it is a black law against the constitution.
২৮ মাৰ্চত তেওঁ এই কথাও উল্লেখ কৰিলে যেপ্রশাসনৰ কিছু সুৰুঙা ৰৈ গৈছে।	On 28 March, he also mentioned that some holes in the administration had been left.
নিয়মীয়া বাৰ্তা ২৭ নৱেম্বৰঃ   যোগীঘোপাৰ চলন্তাপাৰাত ১৭ নং ৰাষ্ট্ৰীয় ঘাইপথত সংঘটিত হয় এই পথ দুৰ্ঘটনা ।	Regular Message 27 November: This road accident took place on National Highway 17 at Salantapara, Jogighopa.
ইপিনে যোৱা দুদিনত ৫টা কৈ চুপাৰিৰ গুদাম ছীল কৰিছে আৰক্ষীয়ে ।	Similarly, in the last two days, the police have sealed 5 more godowns of Supari.
আনহাতে লকডাউনৰ ফলত কৰ্মহীন হৈ থকা অঞ্চলটোৰ দুখীয়া পৰিয়াল সকলক সামৰ্থ অনুযায়ী সহায়ৰ হাত আগবঢ়াই যথেষ্ট সুখী অনুভৱ কৰা বুলি মন্তব্য কৰে অৱসৰপ্ৰাপ্ত প্ৰধান শিক্ষয়িত্ৰী ডালিমী দাসে।	On the other hand, Dalimi Das, a retired headmistress, said she was happy to help the poor families of the area who were left jobless due to the lockdown.
সোণালী জয়ন্তী উৎসৱৰ সামৰণি অনুষ্ঠানৰ কাইলৈ সামৰনী পৰিব ।	The closing ceremony of the golden jubilee celebrations will conclude tomorrow.
কিয়নো বিভিন্ন সময়ত দেখা যায় যে, ডিমাপুৰৰ পৰা বহুতো নিসিদ্ধ সামগ্ৰী পশ্চিম বংগ, আলিপুৰদুৱাৰ আদিলৈ সৰবৰাহ কৰা হয়৷	Because it is seen at different times, many raw materials from Dimapur are smuggled to West Bengal, Alipurduar, etc.
৭. নৰ্থ চেন্টেল মুম্বাইৰ বিজেপি প্ৰাৰ্থী পুনম মহাজনেও দিলে ভোট।	7. BJP candidate from North Central Mumbai Poonam Mahajan also cast her vote.
তেতিয়া তেওঁ আহি পোৱা নাছিল।	And then he didn't come.
পূৰ্বেও কেইবাবাৰো ড্ৰাগছ ব্যৱসায় কৰাৰ অভিযোগত গ্ৰেপ্তাৰ হৈ জেললৈ গৈছিল ৰাহুল৷	Rahul has been arrested and jailed several times in the past for drug dealing.
নিশা লোক দুজনৰ ওপৰত আকস্মিক আক্ৰমণ কৰিছিল নক্সালবাদীয়ে।	At night, the two men were ambushed by Naxalites.
তাৰাবাৰী আৰক্ষী থানাৰ ভাৰপ্ৰাপ্ত আৰক্ষী বিষয়া জ্যোতিষ দাসৰ তৎপৰতাত  গোপন সূত্ৰৰ পম খেদি আৰক্ষীয়ে জুৱাৰ ঘাটি উচ্ছেদ কৰে আৰু জুৱাৰী হায়েত আলীক আটক কৰাৰ লগতে জুৱা খেলত ব্যৱহৃত বিভিন্ন সামগ্ৰী আৰু নগদ ধন জব্দ কৰিবলৈ সক্ষম হয় আৰক্ষীয়ে।	With the intervention of police officer-in-charge of Tarabari Police Station, Jyotish Das, police busted the gambling den and managed to arrest gambler Hayet Ali and seize various items and cash used in gambling.
বৰ্তমান ৫০ গৰাকী লোক চিকিৎসাধীন হৈ আছে দিল্লীৰ লোক নায়ক হস্পিতালত।	At present, 50 people are undergoing treatment at Delhi's Lok Nayak Hospital.
বৰদলৈ ট্রফীৰ নতুন চেম্পিয়ন দিল্লী এফ চি	Delhi FC are the new champions of the Bordoloi Trophy
বৃহস্পতিবাৰৰ নিশাৰ পৰা বৰষুণ দিয়াৰ পিছতে এই পৰিৱেশৰ সৃষ্টি হয়।	The development comes after it rained since Thursday night.
সেই কেন্দ্ৰৰ পৰা মানাহলৈ স্থানান্তৰ কৰাৰ সমইচোৱাত অসম ৰাজ্যিক চিৰিয়াখনাৰ ডিএফঅ তেজচ মৰিস্বামি আৰু নামেৰি ৰাষ্ট্ৰীয় উদ্যানৰ ৰেঞ্জ অফিচাৰ দেৱাশিষ বুঢ়াগোহাই উপস্থিত থাকে।	Tejas Moriswami, DFO, Assam State Wildlife Sanctuary and Devashish Budagohain, Range Officer, Nameri National Park were present during the shifting from that centre to Manah.
৩ নং উত্তৰ পাকা গাওঁ পঞ্চায়তৰ বৰ্তমানৰ সভাপতি, সচিব জি আৰ এছে মিলি এইসমূহ অনিয়ম সংগঠিত কৰিছে বুলি অভিযোগ উত্থাপন কৰিছে প্ৰতিবাদকাৰীসকলে।	The protesters allege that the current president, secretary GRS of 3 North Paka Gaon Panchayat have organised these irregularities together.
প্রথমে টেষ্ট কৰিব পৰা যাব ১০০ৰ পৰা ১৫০টা ।	At first, 100 to 150 tests can be done.
আমি থকা অঞ্চলটোৰ পৰা পোলেণ্ড সীমান্তলৈ ১৩শ কিলোমিটাৰতকৈও অধিক৷	From the area where we are, to the border with Poland is more than 13 hundred kilometers.
ছাত্ৰ ছাত্ৰীৰ মাজত স্কুল বেগ বিতৰন নলবাৰী জিলা সাহিত্য সভাৰ	Nalbari District Sahitya Sabha distributes school bags among students
ইতিমধ্যে ভুক্তভোগী পৰিয়ালে কয়াকুছি আৰক্ষী চকীত এজাহাৰ দাখিল কৰিছে।	The victim's family has already filed a complaint with the Koyakushi police station.
বৰ্তমান চৰকাৰে জলজীৱন মিছনৰ অধীনত ৰাইজক বিশুদ্ধ খোৱাপানী যোগানৰ বিভিন্ন ঠাইত বৃহৎ বৃহৎ প্ৰকল্প স্থাপন কৰিছে ।	At present, the government has set up mega projects at various places to provide clean drinking water to the people under the Jal Jeevan Mission.
যদি এয়াই হয় কেন্দ্ৰীয় গৃহমন্ত্ৰীগৰাকীৰ ভাষ্য শুনাৰ পাছত অসমৰ মাটি-বায়ু-পানী সেৱন কৰি অবৈধ বিদেশী নাগৰিকক নাগৰিকত্ব প্ৰদানৰ বাবে ওকালতি কৰা সকলে অমিত শ্বাহৰ এই ভাষ্যক পুনৰবাৰ শুনি অন্তৰ আত্মাক সুধি, বিবেকৰ নিৰ্দেশ মানি সিদ্ধান্ত লওঁক ইয়াৰ পাছতো তেওঁলোকে কোন হতে ক’ব পাৰে- কম সংখ্যক বিদেশী আহিব।	If this is the case after listening to the Union Home Minister, those who are advocating for giving citizenship to illegal foreign nationals by consuming Assam's soil-air-water, listening to Amit Shah's commentary again and again, ask the inner soul, follow the instruction of conscience and decide who they can be after this - a small number of foreigners will be coming....!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
অনুষ্ঠানটোত অংশগ্ৰহণ কৰা ব্যক্তি সকলে ১ মিনিট সময় মৌণতা অৱলম্বন কৰি ভগবানৰ ওচৰত প্ৰাৰ্থনা কৰে।	The participants observe silence for 1 minute and pray to God.
কেতিয়া হ’ব JEE-NEET পৰীক্ষা, উচ্চতম ন্যায়ালয়ৰ গুৰুত্বপূৰ্ণ ৰায়দান	When will JEE-NEET exam be held, Supreme Court's important verdict
হৃদৰোগত আক্ৰান্ত স্পেনিছ ফুটবল খেলুৱৈ ইকেৰ কেছিলাছ	Spanish footballer Iker Casillas suffers heart attack
লামডিঙ আৰক্ষীয়ে তদন্ত অব্যাহত ৰাখিছে ড্ৰাগছৰ বিৰুদ্ধে ৷	The Lumding police are continuing their investigation against the drugs.
কিন্তু উপহাৰৰ পৰিৱৰ্তে দৰা-কইনাৰ হাতত দেখা গ’ল দুটাকৈ ৰাইফলহে।	But instead of gifts, only two rifles were seen in the hands of the bride and groom.
কুন্তি“ চৰিত্ৰৰে মঞ্চ কপোৱা মীনা বৰাৰ পৰলোকপ্ৰাপ্তি...	Meena Bora, who graced the stage with the role of Kunti, has become a household name..........................................................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
অতিৰিক্ত উপায়ুক্ত হিচাপে বৰপেটা জিলাত দক্ষতাৰে কাৰ্যনিৰ্বাহ কৰা পাঠকক বিশেষ বঁটাৰ বাবে নিৰ্বাচিত কৰাৰ বাবে জিলাবাসীয়ে অভিনন্দন জনাইছে ৷	Pathak, who served with distinction in Barpeta district as Additional Deputy Commissioner, has been congratulated by the people of the district for being selected for the special award.
আৰু তাৰপাছতেই ১৬লক্ষাধিক লোকক স্থানান্তৰ কৰা হৈছিল সুৰক্ষিত স্থানলৈ।	More than 16 lakh people were evacuated to safer places.
পথ নিৰ্মাণত ব্যাপক বিসংগতিৰ অভিযোগ উত্থাপন হোৱাৰ পিছতো কিন্তু বিভাগীয় কাৰ্যবাহী অভিযন্তা, সহকাৰী কাৰ্যবাহী অভিযন্তা আৰু কণিষ্ঠ অভিযন্তাই কোনো ধৰণৰ ব্যৱস্থা গ্ৰহণ নকৰাৰ ঘটনাই গভীৰ ৰহস্য সৃষ্টি কৰিছে ।	The fact that the Divisional Executive Engineer, the Assistant Executive Engineer and the Computer Engineer did not take any action despite complaints of gross irregularities in the construction of the road has created a deep mystery.
সৰ্থেবাৰীস্থিত সৰুক্ষেত্ৰী গ্ৰাম্য চিকিৎসালয়ত ছাডেন ভিজিত মন্ত্ৰী পীয়ুষ হাজৰিকাৰ VIDEO	Video of Minister Piyush Hazarika's visit to Saruthebari-based Surukshetra Rural Hospital
গতিকে অসমৰ ৰাইজে উদযাপন কৰিব পাৰিব অসমৰ চেনেহৰ বিহু৷	So the people of Assam will be able to celebrate Assam's Senhor Bihu.
সম্প্ৰতি মৰণোত্তৰ পৰীক্ষাৰ বাবে GMCHলৈ যোৱা হৈছে পম্পীৰ মৃতদেহ ৷	The body has been sent to GMCH for post mortem.
আব্দুল খালেকৰ পৰা আৰক্ষীয়ে জব্দ কৰা মটৰ চাইকেলখনৰ নম্বৰ হৈছে এএছ-১৫-এন-৮৬২২।	The number of the motorcycle seized by the police from Abdul Khaleque is AS-15-N-8622.
এই দুৰ্ঘটনাত থিতাতে নিহত মহিলাসহ ৫জনকৈ লোক।	In this accident, 5 people died on the spot.
আপৰ অধ্যক্ষ অৰবিন্দ কেজৰিৱালক সাক্ষাৎ প্ৰখ্যাত সংগীতকাৰ জাভেদ আখতাৰৰ।	Renowned music composer Javed Akhtar meets AAP chief Arvind Kejriwal.
কিন্তু ইয়াৰ তুলনাত ভাৰতত যথেষ্ট কম তেল মজুত আছে৷	But compared to this, India has very little oil reserves.
সেই সময়ত গেটৰ বাহিৰত থিয় হৈ থকা চিআৰপিএফ জোৱানসকলে লগেলগে জুই নিয়ন্ত্ৰণলৈ আনিছিল।	CRPF personnel, who were standing outside the gate at the time, quickly brought the fire under control.
গুৱাহাটী পৌৰ নিগমৰ ৬টা ডিভিজনত ৬টা জাবৰ ষ্টেচন নিৰ্মাণ কৰা হ’ব।	Six Zabar stations will be constructed in six divisions of the Guwahati Municipal Corporation.
নিয়মীয়া বাৰ্তা, ৬ ফেব্রুৱাৰীঃ য়শ ধুল নেতৃত্বাধীন ১৯ অনূৰ্ধ্ব ভাৰতীয় দলটোৱে ১৯ অনূৰ্ধ্ব বিশ্বকাপৰ চেম্পিয়নৰ খিতাপ দখল কৰিছে।	Regular Message, 6 February: The Yash Dhull-led Under-19 Indian team has been crowned the champions of the Under-19 World Cup.
উল্লেখ্য যে, এই দুৰ্ঘটনাত বিমানখনৰ এজন বৈমানিকসহ দুজন লোকৰ মৃত্যু হৈছে।	Two people, including one of the aircraft's pilots, were killed in the crash.
’	""""
এই সমগ্ৰহ ঘটনাৰ সাক্ষী হৈ ৰলো আমি এতিয়া এইখন অসমত ন্যায় বিচাৰাতো অপৰাধ ! আমি ন্যায় নোপোৱা পৰ্যন্ত আমি সংগ্ৰাম অব্যাহত ৰাখিম ।	Witness this entire incident We now find it a crime to seek justice in Assam! We will continue to fight until we get justice.
এনে সময়তে চীনৰ এই পৰিস্থিতিক লৈ দুখ প্ৰকাশ কৰিছে বলিউদৰ জনপ্ৰিয় অভিনেতা আমিৰ খানে।	Meanwhile, popular Bollywood actor Aamir Khan has expressed his sadness over the situation in China.
SAMকোম্পানীৰ ট্ৰাকখনৰ অন্তিম GPS ৰেকৰ্ড সোমবাৰে পুৱতি নিশা ০১:০৯ বজাত কলিয়াভোমোৰা দলং বুলি আৰক্ষী সুত্ৰে প্ৰকাশ কৰে।	The last GPS record of the SAM company's truck was the Kaliabhomora bridge at 01:09 am on Monday, police sources said.
নদীৰ পাৰত, পথাৰত চলিছে এই দেৱীৰ বন্দনা।	On the banks of the river, in the fields, the worship of this goddess is going on.
জানিব পৰা মতে, এইগৰাকী এচিএছ বিষয়াই চিৰাং জিলালৈ বদলি হৈ অহাৰ পাছতে চিৰাঙৰ সদৰ মহকুমাধিপতি ৰূপে যোগদান কৰি দুৰ্নীতিৰ বেহা মেলিছিল চৌদিশে।	Reportedly, this ACS officer was transferred to Chirang district and later joined as the Sub-Divisional Officer of Chirang Sadar and exposed the corruption.
অভিযুক্ত কনিষ্টবল ৰাজেশ শুক্লবৈদ্যক শীঘ্ৰে চাকৰিৰ পৰা বৰ্খাস্ত কৰাৰ দাবী জনায়  প্ৰতিবাদী সাংবাদিক সকলে ৷	The protesting journalists demanded immediate dismissal of the accused constable Rajesh Suklabaidya.
কৃষি বিভাগৰ অভিলাষী আঁচনিৰ পৰা বঞ্চিত হোৱাৰ পিছতে বান বিভীষিকাই সৰ্বস্বান্ত কৰা এইসকল কৃষকক সৰ্বানন্দ সোণোৱাল নেতৃত্বাধীন চৰকাৰৰ কৃষিমন্ত্ৰী অতুল বৰাই কিদৰে উপকৃত কৰে সেয়াহে পৰৱৰ্তী সময়ত লক্ষণীয় হব!	How Atul Bora, the Agriculture Minister of the Sarbananda Sonowal-led government, benefits these farmers, who were devastated by the flood disaster after being deprived of the ambitious scheme of the Agriculture Department, will be noted later!
